================================================================================
ANÁLISIS LÉXICO - TOKENS ENCONTRADOS
Archivo: input\ejemplo_nuevo.txt
================================================================================
TIPO                 LEXEMA                         LÍNEA      COLUMNA   
--------------------------------------------------------------------------------
WORLD                world                          9          1         
INT                  int                            9          7         
ID                   contador                       9          11        
ENDL                 endl                           9          20        
WORLD                world                          10         1         
FLOAT                float                          10         7         
ID                   temperatura                    10         13        
ASSIGN               =                              10         25        
FLOAT_LITERAL        25.5                           10         27        
ENDL                 endl                           10         32        
WORLD                world                          11         1         
BOOL                 bool                           11         7         
ID                   activo                         11         12        
ASSIGN               =                              11         19        
TRUE                 true                           11         21        
ENDL                 endl                           11         26        
GIFT                 gift                           14         1         
INT                  int                            14         6         
ID                   potencia                       14         10        
LPAREN               ¿                              14         19        
INT                  int                            14         21        
ID                   base                           14         25        
COMMA                ,                              14         29        
INT                  int                            14         31        
ID                   exponente                      14         35        
RPAREN               ?                              14         45        
LBRACE               ¡                              15         1         
LOCAL                local                          16         5         
INT                  int                            16         11        
ID                   resultado                      16         15        
ASSIGN               =                              16         25        
INT_LITERAL          1                              16         27        
ENDL                 endl                           16         29        
LOCAL                local                          17         5         
INT                  int                            17         11        
ID                   i                              17         15        
ASSIGN               =                              17         17        
INT_LITERAL          0                              17         19        
ENDL                 endl                           17         21        
FOR                  for                            20         5         
LPAREN               ¿                              20         9         
ID                   i                              20         11        
ASSIGN               =                              20         13        
INT_LITERAL          0                              20         15        
ENDL                 endl                           20         17        
ID                   i                              20         22        
LT                   <                              20         24        
ID                   exponente                      20         26        
ENDL                 endl                           20         36        
INCREMENT            ++                             20         41        
ID                   i                              20         43        
RPAREN               ?                              20         45        
LBRACE               ¡                              21         5         
ID                   resultado                      22         9         
ASSIGN               =                              22         19        
ID                   resultado                      22         21        
TIMES                *                              22         31        
ID                   base                           22         33        
ENDL                 endl                           22         38        
RBRACE               !                              23         5         
RETURN               return                         25         5         
ID                   resultado                      25         12        
ENDL                 endl                           25         22        
RBRACE               !                              26         1         
GIFT                 gift                           29         1         
BOOL                 bool                           29         6         
ID                   en_rango                       29         11        
LPAREN               ¿                              29         20        
INT                  int                            29         22        
ID                   valor                          29         26        
COMMA                ,                              29         31        
INT                  int                            29         33        
ID                   min                            29         37        
COMMA                ,                              29         40        
INT                  int                            29         42        
ID                   max                            29         46        
RPAREN               ?                              29         50        
