================================================================================
ANÁLISIS LÉXICO - TOKENS ENCONTRADOS
Archivo: input/ejemplo1.txt
================================================================================
TIPO                 LEXEMA                         LÍNEA      COLUMNA   
--------------------------------------------------------------------------------
PROC                 proc                           4          1         
ID                   configurar_pin                 4          6         
LPAREN               (                              4          20        
INT                  int                            4          21        
ID                   pin                            4          25        
COMMA                ,                              4          28        
INT                  int                            4          30        
ID                   modo                           4          34        
RPAREN               )                              4          38        
LBRACE               {                              4          40        
INT                  int                            5          5         
ID                   registro                       5          9         
ASSIGN               =                              5          18        
HEX_LITERAL          0xFF00                         5          20        
SEMICOLON            ;                              5          26        
ID                   registro                       6          5         
ASSIGN               =                              6          14        
ID                   registro                       6          16        
BIT_OR               |                              6          25        
ID                   pin                            6          27        
SEMICOLON            ;                              6          30        
ID                   registro                       7          5         
ASSIGN               =                              7          14        
ID                   registro                       7          16        
BIT_AND              &                              7          25        
ID                   modo                           7          27        
SEMICOLON            ;                              7          31        
RETURN               return                         8          5         
ID                   registro                       8          12        
SEMICOLON            ;                              8          20        
RBRACE               }                              9          1         
PROC                 proc                           11         1         
ID                   leer_sensor                    11         6         
LPAREN               (                              11         17        
INT                  int                            11         18        
ID                   puerto                         11         22        
RPAREN               )                              11         28        
LBRACE               {                              11         30        
INT                  int                            12         5         
ID                   valor                          12         9         
ASSIGN               =                              12         15        
INT_LITERAL          0                              12         17        
SEMICOLON            ;                              12         18        
ID                   valor                          13         5         
ASSIGN               =                              13         11        
ID                   puerto                         13         13        
LEFT_SHIFT           <<                             13         20        
INT_LITERAL          2                              13         23        
SEMICOLON            ;                              13         24        
ID                   valor                          14         5         
ASSIGN               =                              14         11        
ID                   valor                          14         13        
RIGHT_SHIFT          >>                             14         19        
INT_LITERAL          1                              14         22        
SEMICOLON            ;                              14         23        
RETURN               return                         15         5         
ID                   valor                          15         12        
SEMICOLON            ;                              15         17        
RBRACE               }                              16         1         
PROC                 proc                           18         1         
MAIN                 main                           18         6         
LPAREN               (                              18         10        
RPAREN               )                              18         11        
LBRACE               {                              18         13        
INT                  int                            20         5         
ID                   pin1                           20         9         
ASSIGN               =                              20         14        
INT_LITERAL          13                             20         16        
SEMICOLON            ;                              20         18        
INT                  int                            21         5         
ID                   pin2                           21         9         
ASSIGN               =                              21         14        
INT_LITERAL          7                              21         16        
SEMICOLON            ;                              21         17        
FLOAT                float                          22         5         
ID                   temperatura                    22         11        
ASSIGN               =                              22         23        
FLOAT_LITERAL        25.5                           22         25        
SEMICOLON            ;                              22         29        
BOOL                 bool                           23         5         
ID                   activo                         23         10        
ASSIGN               =                              23         17        
TRUE                 true                           23         19        
SEMICOLON            ;                              23         23        
CHAR                 char                           24         5         
ID                   codigo                         24         10        
ASSIGN               =                              24         17        
CHAR_LITERAL         'A'                            24         19        
SEMICOLON            ;                              24         22        
STRING               string                         25         5         
ID                   mensaje                        25         12        
ASSIGN               =                              25         20        
STRING_LITERAL       "Iniciando sistema"            25         22        
SEMICOLON            ;                              25         41        
INT                  int                            28         5         
ID                   resultado                      28         9         
ASSIGN               =                              28         19        
LPAREN               (                              28         21        
ID                   pin1                           28         22        
PLUS                 +                              28         27        
ID                   pin2                           28         29        
RPAREN               )                              28         33        
TIMES                *                              28         35        
INT_LITERAL          2                              28         37        
SEMICOLON            ;                              28         38        
ID                   resultado                      29         5         
ASSIGN               =                              29         15        
ID                   resultado                      29         17        
DIV                  /                              29         27        
INT_LITERAL          4                              29         29        
SEMICOLON            ;                              29         30        
ID                   resultado                      30         5         
ASSIGN               =                              30         15        
ID                   resultado                      30         17        
MOD                  %                              30         27        
INT_LITERAL          3                              30         29        
SEMICOLON            ;                              30         30        
IF                   if                             33         5         
LPAREN               (                              33         8         
ID                   pin1                           33         9         
GT                   >                              33         14        
ID                   pin2                           33         16        
AND                  &&                             33         21        
ID                   activo                         33         24        
RPAREN               )                              33         30        
LBRACE               {                              33         32        
ID                   temperatura                    34         9         
ASSIGN               =                              34         21        
ID                   temperatura                    34         23        
PLUS                 +                              34         35        
FLOAT_LITERAL        1.5                            34         37        
SEMICOLON            ;                              34         40        
RBRACE               }                              35         5         
ELSE                 else                           35         7         
LBRACE               {                              35         12        
ID                   temperatura                    36         9         
ASSIGN               =                              36         21        
