================================================================================
ANÁLISIS LÉXICO - TOKENS ENCONTRADOS
Archivo: input/ejemplo_nuevo.txt
================================================================================
TIPO                 LEXEMA                         LÍNEA      COLUMNA   
--------------------------------------------------------------------------------
WORLD                world                          8          1         
INT                  int                            8          7         
ID                   contador                       8          11        
ENDL                 endl                           8          20        
WORLD                world                          9          1         
FLOAT                float                          9          7         
ID                   temperatura                    9          13        
FLOAT_LITERAL        25.5                           9          27        
ENDL                 endl                           9          32        
WORLD                world                          10         1         
BOOL                 bool                           10         7         
ID                   activo                         10         12        
TRUE                 true                           10         21        
ENDL                 endl                           10         26        
GIFT                 gift                           13         1         
INT                  int                            13         6         
ID                   potencia                       13         10        
LPAREN               ¿                              13         18        
INT                  int                            13         19        
ID                   base                           13         23        
COMMA                ,                              13         27        
INT                  int                            13         29        
ID                   exponente                      13         33        
RPAREN               ?                              13         42        
LBRACE               ¡                              13         43        
LOCAL                local                          14         5         
INT                  int                            14         11        
ID                   resultado                      14         15        
INT_LITERAL          1                              14         27        
ENDL                 endl                           14         29        
LOCAL                local                          15         5         
INT                  int                            15         11        
ID                   i                              15         15        
ENDL                 endl                           15         17        
FOR                  for                            17         5         
LPAREN               ¿                              17         9         
ID                   i                              17         10        
INT_LITERAL          0                              17         14        
ENDL                 endl                           17         16        
ID                   i                              17         21        
LT                   <                              17         23        
ID                   exponente                      17         25        
ENDL                 endl                           17         35        
INCREMENT            ++                             17         40        
ID                   i                              17         42        
RPAREN               ?                              17         43        
LBRACE               ¡                              17         44        
ID                   resultado                      18         9         
ID                   resultado                      18         21        
TIMES                *                              18         31        
ID                   base                           18         33        
ENDL                 endl                           18         38        
RBRACE               !                              19         5         
RETURN               return                         21         5         
ID                   resultado                      21         12        
ENDL                 endl                           21         22        
RBRACE               !                              22         1         
GIFT                 gift                           25         1         
BOOL                 bool                           25         6         
ID                   en_rango                       25         11        
LPAREN               ¿                              25         19        
INT                  int                            25         20        
ID                   valor                          25         24        
COMMA                ,                              25         29        
INT                  int                            25         31        
ID                   min                            25         35        
COMMA                ,                              25         38        
INT                  int                            25         40        
ID                   max                            25         44        
RPAREN               ?                              25         47        
LBRACE               ¡                              25         48        
DECIDE               decide                         26         5         
OF                   of                             26         12        
LPAREN               ¿                              27         9         
ID                   valor                          27         10        
LT                   <                              27         16        
ID                   min                            27         18        
ARROW                ->                             27         22        
LBRACE               ¡                              27         25        
RETURN               return                         28         13        
FALSE                false                          28         20        
ENDL                 endl                           28         26        
RBRACE               !                              29         9         
RPAREN               ?                              29         10        
LPAREN               ¿                              30         9         
ID                   valor                          30         10        
GT                   >                              30         16        
ID                   max                            30         18        
ARROW                ->                             30         22        
LBRACE               ¡                              30         25        
RETURN               return                         31         13        
FALSE                false                          31         20        
ENDL                 endl                           31         26        
RBRACE               !                              32         9         
RPAREN               ?                              32         10        
LPAREN               ¿                              33         9         
ELSE                 else                           33         10        
ARROW                ->                             33         15        
LBRACE               ¡                              33         18        
RETURN               return                         34         13        
TRUE                 true                           34         20        
ENDL                 endl                           34         25        
RBRACE               !                              35         9         
RPAREN               ?                              35         10        
END                  end                            36         5         
DECIDE               decide                         36         9         
ENDL                 endl                           36         16        
RBRACE               !                              37         1         
COAL                 coal                           40         1         
NAVIDAD              navidad                        40         6         
LPAREN               ¿                              40         13        
RPAREN               ?                              40         14        
LBRACE               ¡                              40         15        
LOCAL                local                          42         5         
INT                  int                            42         11        
ID                   x                              42         15        
INT_LITERAL          10                             42         19        
ENDL                 endl                           42         22        
LOCAL                local                          43         5         
FLOAT                float                          43         11        
ID                   y                              43         17        
FLOAT_LITERAL        3.14                           43         21        
ENDL                 endl                           43         26        
LOCAL                local                          44         5         
CHAR                 char                           44         11        
ID                   codigo                         44         16        
CHAR_LITERAL         'A'                            44         25        
ENDL                 endl                           44         29        
LOCAL                local                          45         5         
STRING               string                         45         11        
ID                   mensaje                        45         18        
STRING_LITERAL       "Sistema iniciado"             45         28        
ENDL                 endl                           45         47        
LOCAL                local                          48         5         
INT                  int                            48         11        
ID                   matriz                         48         15        
LBRACKET             [                              48         21        
INT_LITERAL          3                              48         22        
RBRACKET             ]                              48         23        
LBRACKET             [                              48         24        
INT_LITERAL          3                              48         25        
RBRACKET             ]                              48         26        
LBRACE               ¡                              48         30        
INT_LITERAL          0                              48         31        
COMMA                ,                              48         32        
INT_LITERAL          1                              48         34        
COMMA                ,                              48         35        
INT_LITERAL          2                              48         37        
COMMA                ,                              48         38        
INT_LITERAL          3                              48         40        
COMMA                ,                              48         41        
INT_LITERAL          4                              48         43        
COMMA                ,                              48         44        
INT_LITERAL          5                              48         46        
COMMA                ,                              48         47        
INT_LITERAL          6                              48         49        
COMMA                ,                              48         50        
INT_LITERAL          7                              48         52        
COMMA                ,                              48         53        
INT_LITERAL          8                              48         55        
RBRACE               !                              48         56        
ENDL                 endl                           48         58        
SHOW                 show                           51         5         
LPAREN               ¿                              51         9         
ID                   mensaje                        51         10        
RPAREN               ?                              51         17        
